Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дубас,Станіслав,Мирославович,Чоловіча,15-02-1963,Художник,місто Боярка,"узвіз Бузковий, буд. 8 кв. 38, Красилів, 15473",+380 (57) 043-75-60,bezditkoemiliia@example.org
Венгринович,Давид,Дмитрович,Чоловіча,01-05-1942,Палеонтолог,місто Білопілля,"шосе Віталія Гуляєва, буд. 8, Добромиль, 34675",+380 89 477-44-14,onysymkorbut@example.net
Башполченко,Петро,Мартинович,Чоловіча,24-08-1976,Електромонтажник,село Кам'янка (Черкаська область),"узвіз Лінія 55-та, буд. 4, Олешки, 72503",005 649-73-13,semenfilipenko@example.com
Ткаченко,Франц,Орестович,Чоловіча,20-07-1988,Письменник,село Марганець,"провулок Лиманчик 2-й Лінія 3-тя, буд. 17 кв. 205, Калинівка, 87714",037 514-96-67,khrystynafesenko@example.org
Чумак,Ярослав,Мартинович,Чоловіча,13-06-1979,Конструктор,село Мена,"провулок Політкаторжан, буд. 76, Кривий Ріг, 97740",+380 63 780-09-69,iaroshieva@example.net
Черненко,Франц,Едуардович,Чоловіча,24-11-1990,Візажист,село Золотоноша,"узвіз Героїв УПА, буд. 30 кв. 0, Бориспіль, 06442",031 853 19 92,qzhuchenko@example.com
Цісик,Дмитро,Данилович,Чоловіча,23-03-2003,Гицель,хутір Харків,"шосе Мельницька, буд. 0, Тростянець, 33198",+380 31 338-10-66,oleksa15@example.net
Шовкопляс,Веніямин,Олегович,Чоловіча,30-06-1950,Підприємець,селище Шепетівка,"площа Харківська, буд. 44, Берестечко, 99564",025 773 95 51,sviatoslava43@example.com
Петрик,Гордій,Зорянович,Чоловіча,27-03-1939,Агроном,хутір Остер,"сквер Матюшенка, буд. 049, Сторожинець, 93948",+380 08 311-93-94,dfesenko@example.net
Стельмах,Стефан,Опанасович,Чоловіча,20-10-1951,Бухгалтер,село Вишгород,"провулок Крутоярська, буд. 227 кв. 80, Угнів, 87474",329 60 19,ndankiv@example.net
Петрик,Зиновій,Павлович,Чоловіча,16-05-2008,Машиніст,місто Маріуполь,"площа Лазурний 6-й, буд. 1, Валки, 97456",+380 40 681-69-36,borys28@example.org
Яценюк,Альберт,Веніяминович,Чоловіча,11-02-2007,Психолог,селище Хмельницький,"проспект Хімічний 2-й, буд. 76, Прип'ять, 43790",+380 (86) 249-49-13,symonmykhaliuk@example.net
Дробʼязко,Демид,Трохимович,Чоловіча,24-09-2008,Електромонтажник,селище Умань,"проспект Мала Арнаутська, буд. 24 кв. 438, Федорівка, 87044",030 383-27-54,varfolomii59@example.org
Байда,Хома,Болеславович,Чоловіча,05-03-1988,Фотограф,хутір Джанкой,"парк Лінія 25-та, буд. 922, Чернігів, 96969",024 992 46 87,hkolodub@example.com
Валенко,Захар,Владиславович,Чоловіча,09-03-1953,Фізик,місто Олешки,"площа Дачна, буд. 7, Новий Розділ, 66822",009 752 22 05,spastokar@example.net
Карпенко,Павло,Юхимович,Чоловіча,14-10-1973,Педагог,селище Яворів,"проспект Центральний аеропорт, буд. 05, Алупка, 46531",450-75-70,veresrostyslav@example.org
Якименко,Петро,Микитович,Чоловіча,11-06-1965,Електрослюсар,селище Голубівка,"вулиця Матеріальний 1-й, буд. 613 кв. 2, Голубівка, 08410",+380 22 870-72-66,suprunenkopriska@example.com
